סמל רשות,מספר סידורי,שם רשות מקומית,שטח שיפוט (דונם),שטח תפוס על ידי לוחות סולאריים (דונם),מספר מבנים,שטח גגות כולל (דונם),שטח פוטנציאל שנמצא מתאים לסולארי (דונם),שטח לא פנוי (דונם),הספק מותקן מוערך קיים (MW),אחוז מימוש,הספק פוטנציאל מוערך (MW),סיווג שימוש,הערות
5568,73,נווה מדבר,32721,0,11,1.4,0.6,0,0,0,0.1,תשתיות ומתקנים הנדסיים,usg code is main usage
5568,73,נווה מדבר,32721,0.7,20,5,2.1,0.7,0.1,25.7,0.3,"מסחר, משרדים ותיירות",usg code is main usage
5568,73,נווה מדבר,32721,1.7,469,83.6,41.3,1.2,0.2,4,5.9,חקלאות,usg code is main usage
5568,73,נווה מדבר,32721,1.1,195,32.4,14.3,0.7,0.2,7.1,2,אחר,usg code is main usage
542,74,ריינה,10846.4,0,12,5.1,2.4,0,0,0,0.3,ציבורי,usg code is main usage
542,74,ריינה,10846.4,0,0,0,0,0,0,0,0,ממשלתי,"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0,3,1.1,0.6,0,0,0,0.1,תחבורה,"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0,0,0,0,0,0,0,0,אקדמיה,"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0,6,3,1.3,0,0,0,0.2,שירותי דת,"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0,0,0,0,0,0,0,0,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0,3,1,0.5,0,0,0,0.1,רפואה,"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,3.4,39,19.6,7,2.6,0.5,33,1,רשות מקומית,usg code is main usage
542,74,ריינה,10846.4,3.4,31,15.3,5.3,2.6,0.5,39.2,0.8,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0,8,4.3,1.7,0,0,0.8,0.2,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,1.2,2043,498,207.4,0.6,0.2,0.6,29.6,מגורים,usg code is main usage
542,74,ריינה,10846.4,0.5,1188,271.2,119.7,0.3,0.1,0.4,17.1,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0.7,794,208.9,80.8,0.2,0.1,0.8,11.5,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0,61,17.9,6.8,0.1,0,0,1,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0,0,0,0,0,0,0,0,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
542,74,ריינה,10846.4,0.2,80,44.7,26.8,0.1,0,0.6,3.8,תעשייה,usg code is main usage
542,74,ריינה,10846.4,0,1,0.3,0.1,0,0,0,0,תשתיות ומתקנים הנדסיים,usg code is main usage
542,74,ריינה,10846.4,0.9,252,70.2,31.3,0.1,0.1,2.9,4.5,"מסחר, משרדים ותיירות",usg code is main usage
542,74,ריינה,10846.4,0,16,3.3,1.4,0,0,0,0.2,חקלאות,usg code is main usage
542,74,ריינה,10846.4,0,35,9.1,4.4,0,0,0,0.6,אחר,usg code is main usage
267,75,כפר שמריהו,2728.4,0,13,10.1,5.6,0.1,0,0,0.8,ציבורי,usg code is main usage
267,75,כפר שמריהו,2728.4,0,2,3.2,1.3,0.1,0,0,0.2,ממשלתי,"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,10,6.5,4.2,0,0,0,0.6,תחבורה,"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,0,0,0,0,0,0,0,אקדמיה,"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,0,0,0,0,0,0,0,שירותי דת,"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,0,0,0,0,0,0,0,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,1,0.3,0.1,0,0,0,0,רפואה,"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,16,7.1,4,0.1,0,0.1,0.6,רשות מקומית,usg code is main usage
267,75,כפר שמריהו,2728.4,0,6,1.7,0.8,0,0,0,0.1,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,10,5.4,3.3,0,0,0.1,0.5,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0.9,398,116.1,45.6,1.9,0.1,2,6.5,מגורים,usg code is main usage
267,75,כפר שמריהו,2728.4,0.9,388,112.7,44.3,1.9,0.1,2.1,6.3,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,10,3.4,1.3,0,0,0.5,0.2,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,0,0,0,0,0,0,0,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,0,0,0,0,0,0,0,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
267,75,כפר שמריהו,2728.4,0,1,0.4,0.2,0,0,0,0,תעשייה,usg code is main usage
267,75,כפר שמריהו,2728.4,0,0,0,0,0,0,0,0,תשתיות ומתקנים הנדסיים,usg code is main usage
267,75,כפר שמריהו,2728.4,0,18,5.9,2.5,0.1,0,0,0.4,"מסחר, משרדים ותיירות",usg code is main usage
267,75,כפר שמריהו,2728.4,0.5,224,75.2,30,1,0.1,1.7,4.3,חקלאות,usg code is main usage
267,75,כפר שמריהו,2728.4,0,16,5.6,2.4,0,0,0,0.3,אחר,usg code is main usage
5538,76,אשכול,737348.4,1.2,55,15.7,6.8,1,0.2,15.2,1,ציבורי,usg code is main usage
5538,76,אשכול,737348.4,0,0,0,0,0,0,0,0,ממשלתי,"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,0,8,1.2,0.6,0,0,0,0.1,תחבורה,"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,0,0,0,0,0,0,0,0,אקדמיה,"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,0.8,18,5.5,2.1,0.7,0.1,27.1,0.3,שירותי דת,"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,0,5,1,0.5,0,0,2.2,0.1,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,0.4,14,6.1,3,0.3,0.1,13.1,0.4,רפואה,"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,15.3,410,179.8,84.8,13,2.2,15.3,12.1,רשות מקומית,usg code is main usage
5538,76,אשכול,737348.4,13,309,129.5,58.3,11.4,1.9,18.2,8.3,מבנה חינוך,"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,2.3,101,50.3,26.6,1.6,0.3,8,3.8,מבנה ציבור פרט לחינוך,"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,47,2990,745.5,334,14.8,6.7,12.3,47.7,מגורים,usg code is main usage
5538,76,אשכול,737348.4,47,2951,733.9,328.1,14.4,6.7,12.5,46.9,מגורים בנייה צמודת קרקע (עד 9 מטרים),"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,0,0,0,0,0,0,0,0,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,0,0,0,0,0,0,0,0,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,0,39,11.6,5.9,0.4,0,0,0.8,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
5538,76,אשכול,737348.4,41.8,112,177.4,86.8,38.5,6,32.5,12.4,תעשייה,usg code is main usage
5538,76,אשכול,737348.4,0,10,4.6,2.6,0,0,0,0.4,תשתיות ומתקנים הנדסיים,usg code is main usage
